"","Team","Pos","Player","G","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV"
"403","MEM","PG","Tyus Jones",73,8.7,2.4,4.4,0.9,0,4.2,0.2,0.6
"404","TOT","C","DeAndre Jordan",48,4.3,5.5,0.4,0.3,0.7,1.1,0.3,0.8
"405","LAL","C","DeAndre Jordan",32,4.1,5.4,0.4,0.3,0.8,0.9,0.4,0.7
"406","PHI","C","DeAndre Jordan",16,4.6,5.8,0.5,0.1,0.6,1.4,0.3,1
"407","DET","PG","Cory Joseph",65,8,2.7,3.6,0.6,0.3,3.5,0.2,1.3
"408","TOT","SF","Georgios Kalaitzakis",13,6.6,1.6,0.9,0.8,0.2,2.8,1.2,1.5
"409","MIL","SF","Georgios Kalaitzakis",9,1.8,0.9,0,0.1,0.1,0.6,0.6,0.4
"410","OKC","SF","Georgios Kalaitzakis",4,17.5,3.3,3,2.5,0.3,7.5,2.8,4
"411","PHO","C","Frank Kaminsky",9,10.6,4.6,1.4,0.9,0.8,3.3,0.2,0.6
"412","LAC","SG","Luke Kennard",70,11.9,3.3,2.1,0.6,0.1,5,0.1,0.9
"413","TOT","SF","Braxton Key",11,7.2,4.5,1,0.9,1,3.5,0.6,1
"414","PHI","SF","Braxton Key",2,1,1,0.5,0.5,0,0.5,0,1
"415","DET","SF","Braxton Key",9,8.6,5.3,1.1,1,1.2,4.2,0.6,1
"416","DAL","SF","George King",4,0.3,1.3,0,0,0,1.3,0.2,0.3
"417","SAC","SF","Louis King",10,4.5,1.2,0.9,0.2,0.1,3.2,0.3,0
"418","WAS","SF","Corey Kispert",77,8.2,2.7,1.1,0.5,0.3,3.7,0.1,0.6
"419","DAL","PF","Maxi Kleber",59,7,5.9,1.2,0.5,1,3.6,0.3,0.8
"420","DAL","PG","Brandon Knight",5,6.4,1.6,1.6,0.2,0,3,0,0.8
"421","MIN","PF","Nathan Knight",37,3.7,2.3,0.6,0.2,0.2,1.2,0.4,0.5
"422","TOT","SF","Kevin Knox",30,3.1,1.5,0.3,0.1,0.1,1.8,0.2,0.2
"423","NYK","SF","Kevin Knox",13,3.6,1.7,0.2,0.2,0.1,1.9,0.3,0.4
"424","ATL","SF","Kevin Knox",17,2.7,1.3,0.4,0.1,0.1,1.7,0.2,0.1
"425","MEM","SG","John Konchar",72,4.8,4.6,1.5,0.6,0.3,1.7,0.3,0.4
"426","PHI","SG","Furkan Korkmaz",67,7.6,2.6,1.9,0.5,0.1,4.3,0.3,0.7
"427","TOT","C","Luke Kornet",15,2,1.9,0.6,0.2,0.2,0.9,0.1,0
"428","CLE","C","Luke Kornet",2,2,1.5,0.5,0,0.5,2,0.5,0
"429","MIL","C","Luke Kornet",1,0,1,0,0,0,1,0,0
"430","BOS","C","Luke Kornet",12,2.2,2.1,0.7,0.3,0.2,0.8,0.1,0
"431","OKC","SG","Vit Krejci",30,6.2,3.4,1.9,0.6,0.3,3.3,0.1,1
"432","CHO","SF","Arnoldas Kulboka",2,0,0,0,0,0,0.5,0,0
"433","GSW","SF","Jonathan Kuminga",70,9.3,3.3,0.9,0.4,0.3,3.2,0.8,1.1
"434","WAS","PF","Kyle Kuzma",66,17.1,8.5,3.5,0.6,0.9,7.8,0.9,2.6
"435","SAS","SF","Anthony Lamb",2,0,0.5,1,0,0,1,0,0
"436","TOT","SF-SG","Jeremy Lamb",56,7.3,2.8,1.4,0.6,0.4,3.8,0.3,0.7
"437","IND","SF","Jeremy Lamb",39,7.1,2.4,1.3,0.6,0.4,3.6,0.4,0.6
"438","SAC","SG","Jeremy Lamb",17,7.9,3.5,1.8,0.5,0.5,4.2,0.2,0.8
"439","SAS","C","Jock Landale",54,4.9,2.6,0.8,0.2,0.3,1.9,0.2,0.6
"440","TOT","SG","Romeo Langford",48,4.5,2.3,0.4,0.5,0.3,2.3,0.4,0.3
"441","BOS","SG","Romeo Langford",44,4.7,2.4,0.4,0.5,0.4,2.4,0.3,0.4
"442","SAS","SG","Romeo Langford",4,2.8,1,0.5,0.3,0,0.8,1.2,0
"443","CHI","SF","Zach LaVine",67,24.4,4.6,4.5,0.6,0.3,9.3,0.8,2.6
"444","MIN","SF","Jake Layman",34,2.4,1.1,0.3,0.2,0.1,1.2,0.1,0.3
"445","GSW","SG","Damion Lee",63,7.4,3.2,1,0.6,0.1,3.4,0.2,0.6
"446","DET","PG","Saben Lee",37,5.6,2.4,2.9,1,0.3,2.9,0.4,1
"447","SAC","C","Alex Len",39,6,4.1,1.2,0.3,0.6,2.1,0.5,1.1
"448","TOT","SG","Caris LeVert",58,17,3.7,4.3,0.9,0.4,8.2,0.8,1.9
"449","IND","SG","Caris LeVert",39,18.7,3.8,4.4,0.9,0.5,8.8,0.9,1.9
"450","CLE","SG","Caris LeVert",19,13.6,3.4,3.9,0.8,0.3,6.9,0.7,1.7
"451","NOP","PG","Kira Lewis Jr.",24,5.9,1.6,2,0.5,0,3.6,0.1,1.1
"452","CHO","SG","Scottie Lewis",2,0.5,0,0.5,0.5,0,0,0.5,0
"453","POR","PG","Damian Lillard",29,24,4.1,7.3,0.6,0.4,11.3,0.7,2.9
"454","POR","SF","Nassir Little",42,9.8,5.6,1.3,0.6,0.9,4,0.6,1
"455","DET","SF","Isaiah Livers",19,6.4,3,1.1,0.7,0.4,2.5,0.1,0.8
"456","GSW","C","Kevon Looney",82,6,7.3,2,0.6,0.6,1.9,0.6,0.8
"457","MIL","C","Brook Lopez",13,12.4,4.1,0.5,0.6,1.2,5.4,0.3,0.9
"458","ORL","C","Robin Lopez",36,7.1,3.5,1.5,0.1,0.5,2.4,0.6,1.2
"459","TOT","SG-SF","Didi Louzada",9,3.9,1.9,0.6,0.2,0.2,2.4,0,0.6
"460","NOP","SF","Didi Louzada",2,0,1,0.5,0,0,1.5,0,0
"461","POR","SG","Didi Louzada",7,5,2.1,0.6,0.3,0.3,2.6,0,0.7
"462","CLE","PF","Kevin Love",74,13.6,7.2,2.2,0.4,0.2,5.9,0.5,1.3
"463","MIA","PG","Kyle Lowry",63,13.4,4.5,7.5,1.1,0.3,5.6,0.5,2.7
"464","PHO","SG","Gabriel Lundberg",4,3.3,1.8,2.8,0.8,0,3.5,0,0.8
"465","ATL","SF","Timothé Luwawu-Cabarrot",52,4.4,1.6,0.8,0.3,0.1,2.2,0.1,0.4
"466","TOT","PF","Trey Lyles",75,10.5,5.1,1.2,0.4,0.4,4,0.6,1
"467","DET","PF","Trey Lyles",51,10.4,4.8,1.1,0.4,0.5,4.1,0.8,1.1
"468","SAC","PF","Trey Lyles",24,10.6,5.6,1.3,0.3,0.3,3.8,0.4,0.8
"469","OKC","PG","Théo Maledon",51,7.1,2.6,2.2,0.6,0.2,3.9,0.5,1.3
"470","MIL","PF","Sandro Mamukelashvili",41,3.8,2,0.5,0.2,0.2,1.4,0.1,0.4
"471","LAC","SF","Terance Mann",81,10.8,5.2,2.6,0.7,0.3,4.4,0.4,1
"472","OKC","PG","Tre Mann",60,10.4,2.9,1.5,0.8,0.2,5.9,0.3,1.2
"473","DAL","C","Boban Marjanovi?",23,4.3,1.7,0.1,0,0.1,1.2,0.4,0.7
"474","CLE","PF","Lauri Markkanen",61,14.8,5.7,1.3,0.7,0.5,6.4,0.3,0.9
"475","NOP","SF","Naji Marshall",55,5.7,2.6,1.1,0.6,0.1,2.9,0.4,0.8
"476","MIA","SF","Caleb Martin",60,9.2,3.8,1.1,1,0.5,3.3,0.4,0.9
"477","CHO","SF","Cody Martin",71,7.7,4,2.5,1.2,0.5,3.1,0.4,0.9
"478","TOT","SF","Kelan Martin",30,5.7,1.8,0.7,0.4,0.3,3.4,0.1,0.5
"479","IND","SF","Kelan Martin",27,6.3,2,0.8,0.5,0.3,3.6,0.2,0.5
"480","BOS","SF","Kelan Martin",3,0,0.7,0,0,0,1,0,0
"481","HOU","SF","Kenyon Martin Jr.",79,8.8,3.8,1.3,0.4,0.5,3.1,0.6,0.8
"482","HOU","SG","Garrison Mathews",65,10,2.9,1,0.9,0.4,4.3,0.6,0.6
"483","MEM","SG","Dakota Mathias",6,1,0.3,0.2,0.2,0,0.7,0,0
"484","MIL","SG","Wesley Matthews",49,5.1,1.9,0.7,0.5,0.2,2.7,0.2,0.4
"485","PHI","PG","Tyrese Maxey",75,17.5,3.2,4.3,0.7,0.4,6.9,0.5,1.2
"486","ATL","SG","Skylar Mays",28,2.9,0.9,0.6,0.3,0,1.2,0,0.4
"487","NYK","PG","Miles McBride",40,2.2,1.1,1,0.4,0,1.9,0.1,0.1
"488","TOT","SG-PG","Mac McClung",2,4,1.5,0.5,0.5,0.5,1.5,0,1.5
"489","CHI","PG","Mac McClung",1,2,0,0,0,0,0,0,1
"490","LAL","SG","Mac McClung",1,6,3,1,1,1,3,0,2
"491","TOT","SG","CJ McCollum",62,22.1,4.3,5.1,1.1,0.4,10.2,0.8,2
"492","POR","SG","CJ McCollum",36,20.5,4.3,4.5,1,0.6,10.4,0.6,1.9
"493","NOP","SG","CJ McCollum",26,24.3,4.5,5.8,1.3,0,9.7,1.3,2.2
"494","IND","PG","T.J. McConnell",27,8.5,3.3,4.9,1.1,0.4,4,0.2,1.1
"495","MIN","PF","Jaden McDaniels",70,9.2,4.2,1.1,0.7,0.8,4.3,0.2,1.1
"496","CHO","SF","Jalen McDaniels",55,6.2,3.1,1.1,0.5,0.4,2.4,0.3,0.7
"497","SAS","PF","Doug McDermott",51,11.3,2.3,1.3,0.3,0.1,4.9,0.2,0.8
"498","PHO","C","JaVale McGee",74,9.2,6.7,0.6,0.3,1.1,2.3,0.6,1.3
"499","POR","SF","Cameron McGriff",3,4.7,5,1,0,0.3,3,0,0
"500","DET","SG","Rodney McGruder",51,5.4,2.2,0.9,0.4,0.1,2.5,0.1,0.5
"501","CHI","SF","Alfonzo McKinnie",17,3.5,1.9,0.3,0.1,0.2,2.2,0.4,0.4
"502","DAL","PG","JaQuori McLaughlin",4,0,0,0.5,0,0,0.5,0,0
"503","MIN","PG","Jordan McLaughlin",62,3.8,1.5,2.9,0.9,0.2,1.8,0.1,0.6
"504","POR","SG","Ben McLemore",64,10.2,1.6,0.9,0.6,0.2,5,0.3,0.9
"505","MEM","SG","De'Anthony Melton",73,10.8,4.5,2.7,1.4,0.5,5.7,0.4,1.5
"506","MEM","SG","Sam Merrill",6,4.2,1.2,0.7,0,0,2.7,0.4,0.3
"507","SAC","C","Chimezie Metu",60,8.9,5.6,1,0.9,0.5,4.1,0.3,1
"508","MIL","SF","Khris Middleton",66,20.1,5.4,5.4,1.2,0.3,8.7,0.5,2.9
"509","BOS","SG","C.J. Miles",1,0,0,0,0,0,0,0,0
"510","BRK","PG","Patty Mills",81,11.4,1.9,2.3,0.6,0.2,5.8,0.1,0.9
"511","TOT","PF","Paul Millsap",33,3.5,3.5,0.9,0.3,0.4,2.1,0.2,0.6
"512","BRK","PF","Paul Millsap",24,3.4,3.7,1,0.2,0.5,2.2,0.2,0.5
"513","PHI","PF","Paul Millsap",9,3.7,2.8,0.6,0.6,0.2,1.9,0.2,0.9
"514","PHI","PG","Shake Milton",55,8.2,2.6,2.5,0.5,0.3,4.2,0.2,0.8
"515","SAC","PG","Davion Mitchell",75,11.5,2.2,4.2,0.7,0.3,6.5,0.4,1.5
"516","UTA","SG","Donovan Mitchell",67,25.9,4.2,5.3,1.5,0.2,11.3,0.7,3
"517","CLE","PF","Evan Mobley",69,15,8.3,2.5,0.8,1.7,5.9,1.3,1.9
"518","LAL","SG","Malik Monk",76,13.8,3.4,2.9,0.8,0.4,5.8,0.3,1.6
"519","TOT","C","Greg Monroe",14,5.4,4.6,1.6,0.6,0.7,1.8,0.7,0.9
"520","MIN","C","Greg Monroe",4,7.3,6,4,1,1.5,2.2,1,1.8
"521","WAS","C","Greg Monroe",2,4,5,0.5,0.5,0.5,2,0,1
"522","MIL","C","Greg Monroe",5,5.4,4.2,0.4,0.6,0.4,2.2,0.8,0.6
"523","UTA","C","Greg Monroe",3,4,3,1,0,0.3,0.4,1,0
"524","GSW","SG","Moses Moody",52,4.4,1.5,0.4,0.1,0.2,2,0.2,0.3
"525","LAC","SG","Xavier Moon",10,5.8,1.4,2.4,0.7,0.3,2.6,0.2,0.6
"526","NYK","SG","Matt Mooney",1,0,0,0,1,0,1,0,1
"527","MEM","PG","Ja Morant",57,27.4,5.7,6.7,1.2,0.4,10.4,1.8,3.4
"528","TOT","PF","Juwan Morgan",2,2.5,2,0.5,0,0,0.5,0,0
"529","TOR","PF","Juwan Morgan",1,5,4,1,0,0,1,0,0
"530","BOS","PF","Juwan Morgan",1,0,0,0,0,0,0,0,0
"531","SAS","SG","Jaylen Morris",3,0.7,0.7,0.7,0,0,2,0.6,0.3
"532","LAC","PF","Marcus Morris",54,15.4,4.4,2.1,0.5,0.3,7.2,0.3,1.3
"533","MIA","PF","Markieff Morris",17,7.6,2.6,1.4,0.4,0.1,3.5,0,1.2
"534","DEN","PG","Monte Morris",75,12.6,3,4.4,0.7,0.2,5.3,0.1,1
"535","SAC","PG","Emmanuel Mudiay",2,1.5,0,2,0.5,0,1,0.5,0.5
"536","TOT","PG","Mychal Mulder",17,4.1,1.4,0.3,0.2,0.1,3.1,0,0.5
"537","ORL","PG","Mychal Mulder",15,3.7,1.4,0.2,0.3,0.1,3.2,0,0.5
"538","MIA","PG","Mychal Mulder",2,7,1.5,1,0,0.5,3,0,0
"539","SAC","SG","Ade Murkey",1,0,0,0,0,0,0,0,0
"540","NOP","SF","Trey Murphy III",62,5.4,2.4,0.6,0.4,0.1,2.7,0.1,0.3
"541","SAS","PG","Dejounte Murray",68,21.1,8.3,9.2,2,0.3,9.9,0.7,2.6
"542","OKC","C","Mike Muscala",43,8,3,0.5,0.4,0.6,3.2,0.2,0.3
"543","TOR","SF","Svi Mykhailiuk",56,4.6,1.6,0.8,0.5,0.1,2.6,0.1,0.6
"544","PHO","SF","Abdel Nader",14,2.4,1.9,0.5,0.6,0.3,1.6,0.3,0.8
"545","TOT","PF","Larry Nance Jr.",46,7,5.4,1.8,0.9,0.4,2.6,0.3,0.8
"546","POR","PF","Larry Nance Jr.",37,6.9,5.6,2,1,0.4,2.6,0.4,0.7
"547","NOP","PF","Larry Nance Jr.",9,7.3,4.3,0.9,0.6,0.8,2.4,0,1.1
"548","CLE","SG","RJ Nembhard Jr.",14,1.1,0.5,0.9,0.1,0,0.9,0.1,0.2
"549","BOS","SF","Aaron Nesmith",52,3.8,1.7,0.4,0.4,0.1,2.1,0.1,0.6
"550","WAS","PG","Raul Neto",70,7.5,1.9,3.1,0.8,0,3.4,0.3,1.1
"551","CLE","PG","Malik Newman",1,8,1,1,0,0,2,0,1
"552","PHI","PF","Georges Niang",76,9.2,2.7,1.3,0.4,0.2,4.2,0.1,0.8
"553","HOU","SG","Daishen Nix",24,3.2,1.4,1.7,0.6,0,1.7,0.6,1.1
"554","DEN","PF","Zeke Nnaji",41,6.6,3.6,0.4,0.4,0.3,2.2,0.6,0.6
"555","NYK","C","Nerlens Noel",25,3.4,5.6,0.9,1.2,1.2,1.1,0.4,0.8
"556","MIN","SG","Jaylen Nowell",62,8.5,2,2.1,0.4,0.2,3.5,0.3,0.6
"557","DAL","PG","Frank Ntilikina",58,4.1,1.4,1.2,0.5,0.1,2.3,0,0.5
"558","POR","C","Jusuf Nurki?",56,15,11.1,2.8,1.1,0.6,5,1.5,2.6
"559","HOU","SF","David Nwaba",46,5.1,3.3,0.8,0.6,0.4,2,0.5,0.5
"560","MIL","SF","Jordan Nwora",62,7.9,3.6,1,0.4,0.3,4.5,0.1,0.9
"561","UTA","SF","Royce O'Neale",77,7.4,4.8,2.5,1.1,0.4,3.2,0.1,1
"562","TOT","PF","Semi Ojeleye",30,3.3,2.5,0.3,0.2,0.2,2.3,0.2,0.3
"563","MIL","PF","Semi Ojeleye",20,2.9,2.9,0.3,0.3,0.3,2.6,0.2,0.3
"564","LAC","PF","Semi Ojeleye",10,4.1,1.6,0.4,0.2,0.1,1.7,0.3,0.4
"565","ORL","PF","Chuma Okeke",70,8.6,5,1.7,1.4,0.6,5.1,0.1,0.8
"566","MIN","SG","Josh Okogie",49,2.7,1.4,0.5,0.5,0.2,1.2,0.3,0.5
"567","ATL","C","Onyeka Okongwu",48,8.2,5.9,1.1,0.6,1.3,1.4,0.6,0.9
"568","CLE","SF","Isaac Okoro",67,8.8,3,1.8,0.8,0.3,3.3,0.5,0.9
"569","MIA","PF","KZ Okpala",21,3.7,2,0.7,0.2,0.3,1.9,0.1,0.2
"570","MIA","SG","Victor Oladipo",8,12.4,2.9,3.5,0.6,0.1,4.7,0.6,2
"571","ATL","SF","Cameron Oliver",2,11.5,3,1.5,0.5,0.5,2.5,0.5,0
"572","DET","C","Kelly Olynyk",40,9.1,4.4,2.8,0.8,0.5,4,0.5,1.5
"573","DAL","SF","Eugene Omoruyi",4,1.8,1.8,0.5,0,0,0.8,0.5,0
"574","UTA","SG","Miye Oni",16,0.3,0.4,0.3,0,0,0.5,0.1,0.1
"575","CLE","SF","Cedi Osman",66,10.7,2.2,2,0.8,0.2,5,0.7,1
"576","TOR","C","Daniel Oturu",3,3,1.7,0,0,0.7,1,0.7,0
"577","CHO","SF","Kelly Oubre Jr.",76,15,4,1.1,1,0.4,6.9,0.8,0.9
"578","DET","PG","Jaysean Paige",1,0,1,1,0,0,3,0,1
"579","DET","SG","Trayvon Palmer",1,0,2,0,0,0,1,0,1
"580","CLE","PG","Kevin Pangos",24,1.6,0.5,1.3,0.1,0,1.3,0.1,0.3
"581","BOS","PF","Jabari Parker",12,4.4,2.3,0.5,0.3,0.1,1.7,0,0.7
"582","UTA","PF","Eric Paschall",58,5.8,1.8,0.6,0.2,0.1,2.1,0.4,0.5
"583","PHO","PG","Chris Paul",65,14.7,4.4,10.8,1.9,0.3,5.7,0.5,2.4
"584","PHO","PG","Cameron Payne",58,10.8,3,4.9,0.7,0.3,6,0.2,1.8
"585","PHO","PG","Elfrid Payton",50,3,1.8,2,0.5,0.1,2.2,0.4,0.9
"586","GSW","PG","Gary Payton II",71,7.1,3.5,0.9,1.4,0.3,1.8,0.3,0.6
"587","UTA","C","Norvel Pelle",3,2,2,0,0,0.3,0.7,0,0.7
"588","TOT","PF","Reggie Perry",10,9.2,4.7,1.2,0.9,0.6,3.9,0.6,1.1
"589","POR","PF","Reggie Perry",9,10,5.1,1.3,1,0.7,4.4,0.7,1.2
"590","IND","PF","Reggie Perry",1,2,1,0,0,0,0,0,0
"591","DET","PF","Jamorko Pickett",13,3.8,2.5,0.5,0,0.5,2.4,0.1,0.4
"592","DAL","SF","Theo Pinson",19,2.5,1.1,0.9,0.3,0.1,1.4,0,0.3
"593","CHO","C","Mason Plumlee",73,6.5,7.7,3.1,0.8,0.7,1.6,1.4,1.4
"594","SAS","C","Jakob Poeltl",68,13.5,9.3,2.8,0.7,1.7,3.8,1.4,1.6
"595","OKC","PF","Aleksej Pokusevski",61,7.6,5.2,2.1,0.6,0.6,4.5,0.2,1.5
"596","MEM","SF","Yves Pons",12,1.1,1,0.1,0.1,0.3,0.9,0.2,0.1
"597","GSW","SG","Jordan Poole",76,18.5,3.4,4,0.8,0.3,7.7,0.3,2.5
"598","HOU","PG","Kevin Porter Jr.",61,15.6,4.4,6.2,1.1,0.4,7.7,1.2,3.1
"599","DEN","SF","Michael Porter Jr.",9,9.9,6.6,1.9,1.1,0.2,7.3,0.4,1.3
"600","GSW","PF","Otto Porter Jr.",63,8.2,5.7,1.5,1.1,0.5,3.5,0.2,0.6
"601","MIL","C","Bobby Portis",72,14.6,9.1,1.2,0.7,0.7,6.3,0.4,1.3
"602","TOT","PF","Kristaps Porzi??is",51,20.2,8.1,2.3,0.7,1.6,8.1,0.699999999999999,1.6
"603","DAL","PF","Kristaps Porzi??is",34,19.2,7.7,2,0.7,1.7,8.2,0.7,1.6
"604","WAS","PF","Kristaps Porzi??is",17,22.1,8.8,2.9,0.7,1.5,8,0.899999999999999,1.6
"605","DET","C","Micah Potter",3,4,3,0,0.3,0.3,2,0,0.3
"606","DAL","C","Dwight Powell",82,8.7,4.9,1.2,0.5,0.5,1.6,0.6,0.8
"607","PHI","PG","Myles Powell",11,1.2,0.5,0.3,0.1,0,1,0,0.3
"608","TOT","SF-SG","Norman Powell",45,19,3.2,2.1,0.9,0.5,7.2,1,1.5
