"","Team","Pos","Player","G","PTS","TRB","AST","STL","BLK","MFG","MFT","TOV"
"609","POR","SF","Norman Powell",40,18.7,3.3,2.1,1,0.4,7.4,1,1.6
"610","LAC","SG","Norman Powell",5,21.4,2.8,2.8,0.4,0.8,6.2,1,1.4
"611","SAS","SG","Joshua Primo",50,5.8,2.3,1.6,0.4,0.5,3.4,0.3,1.1
"612","MIN","PF","Taurean Prince",69,7.3,2.5,1,0.7,0.3,3.1,0.3,0.8
"613","BOS","SG","Payton Pritchard",71,6.2,1.9,2,0.4,0.1,3,0,0.6
"614","HOU","SG","Trevelin Queen",10,4.3,1.6,0.4,0.5,0.1,1.8,0,0.7
"615","SAC","C","Neemias Queta",14,3.2,2.2,0.4,0.1,0.6,1.5,0.4,0.4
"616","NYK","PG","Immanuel Quickley",78,11.3,3.2,3.5,0.7,0,5.7,0.3,1.3
"617","SAC","SG","Jahmi'us Ramsey",19,3.2,0.7,0.4,0.1,0.1,1.8,0.3,0.3
"618","NYK","PF","Julius Randle",72,20.1,9.9,5.1,0.7,0.5,10.2,1.4,3.4
"619","LAL","SG","Austin Reaves",61,7.3,3.2,1.8,0.5,0.3,2.8,0.3,0.7
"620","TOT","SF","Cam Reddish",49,10.1,2.1,1,1,0.3,4.9,0.2,1.2
"621","ATL","SF","Cam Reddish",34,11.9,2.5,1.1,1,0.3,6,0.3,1.3
"622","NYK","SF","Cam Reddish",15,6.1,1.4,0.7,0.8,0.3,2.5,0.2,0.9
"623","DEN","SG","Davon Reed",48,4.4,2.3,1.1,0.5,0.2,1.7,0.1,0.3
"624","PHI","C","Paul Reed",38,3.1,2.4,0.4,0.9,0.4,1.1,0.2,0.3
"625","MIN","C","Naz Reid",77,8.3,3.9,0.9,0.5,0.9,3.2,0.4,1.1
"626","CHO","C","Nick Richards",50,3,1.7,0.3,0.2,0.4,0.6,0.3,0.5
"627","TOT","SG","Josh Richardson",65,10.2,2.8,1.8,0.9,0.4,4.6,0.2,1
"628","BOS","SG","Josh Richardson",44,9.7,2.8,1.5,0.8,0.5,4.3,0.2,0.9
"629","SAS","SG","Josh Richardson",21,11.4,2.9,2.3,1,0.3,5.2,0.1,1.3
"630","DEN","SG","Austin Rivers",67,6,1.7,1.3,0.8,0.1,3,0.2,0.8
"631","MIA","SG","Duncan Robinson",79,10.9,2.6,1.6,0.5,0.2,5.5,0.2,0.8
"632","TOT","PG","Justin Robinson",25,3.1,0.8,1.3,0.4,0,2.6,0.1,0.7
"633","MIL","PG","Justin Robinson",17,2.8,0.8,1.2,0.5,0,2.3,0,0.6
"634","SAC","PG","Justin Robinson",3,0.7,0.3,0.7,0,0,2.4,0,0.3
"635","DET","PG","Justin Robinson",5,5.6,1.4,1.8,0.2,0.2,3.8,0.8,1
"636","NYK","C","Mitchell Robinson",72,8.5,8.6,0.5,0.8,1.8,1.2,1.3,0.8
"637","OKC","C","Jeremiah Robinson-Earl",49,7.5,5.6,1,0.6,0.3,3.9,0.3,0.8
"638","OKC","PF","Isaiah Roby",45,10.1,4.8,1.6,0.8,0.8,3.5,0.9,1
"639","TOT","PG","Rajon Rondo",39,4.8,2.8,4.4,0.8,0.2,2.8,0.2,1.7
"640","LAL","PG","Rajon Rondo",18,3.1,2.7,3.7,0.7,0.3,2.6,0,1.9
"641","CLE","PG","Rajon Rondo",21,6.2,2.8,4.9,0.9,0,2.9,0.2,1.6
"642","NYK","PG","Derrick Rose",26,12,3,4,0.8,0.5,5.8,0,1.5
"643","ORL","SG","Terrence Ross",63,10,2.6,1.8,0.4,0.2,5.3,0.3,1.2
"644","CHO","SG","Terry Rozier",73,19.3,4.3,4.5,1.3,0.3,8.9,0.3,1.3
"645","CLE","PG","Ricky Rubio",34,13.1,4.1,6.6,1.4,0.2,7.7,0.4,2.6
"646","MIN","PG","D'Angelo Russell",65,18.1,3.3,7.1,1,0.3,8.8,0.7,2.5
"647","BOS","SF","Matt Ryan",1,3,0,0,1,0,4,0,0
"648","TOT","C-PF","Domantas Sabonis",62,18.9,12.1,5.2,1,0.4,5.4,1.4,3.1
"649","IND","C","Domantas Sabonis",47,18.9,12.1,5,1,0.5,5.1,1.4,3
"650","SAC","PF","Domantas Sabonis",15,18.9,12.3,5.8,0.9,0.3,6,1.2,3.5
"651","OKC","C","Olivier Sarr",22,7,4.2,0.9,0.3,0.7,2,0.2,1
"652","TOT","SG","Tomáš Satoransk?",55,3.6,2.3,3.3,0.5,0.1,2.2,0.2,0.8
"653","NOP","SG","Tomáš Satoransk?",32,2.8,2,2.4,0.4,0,2.3,0.2,0.7
"654","SAS","SG","Tomáš Satoransk?",1,3,1,0,0,0,0,1,0
"655","WAS","SG","Tomáš Satoransk?",22,4.9,2.8,4.9,0.7,0.2,2,0.1,1
"656","WAS","SG","Jordan Schakel",4,1.3,2,0,0.3,0,2.5,0,0.3
"657","ORL","SF","Admiral Schofield",38,3.8,2.3,0.7,0.1,0.1,2,0.1,0.6
"658","TOT","SG-PG","Dennis Schröder",64,13.5,3.3,4.6,0.8,0.1,6.4,0.4,2.2
"659","BOS","SG","Dennis Schröder",49,14.4,3.3,4.2,0.8,0.1,6.7,0.5,2.1
"660","HOU","PG","Dennis Schröder",15,10.9,3.3,5.9,0.8,0.2,5.6,0.3,2.6
"661","CLE","SF","Tre Scott",2,3,1,0,0.5,0.5,1.5,0,0
"662","LAC","SG","Jay Scrubb",18,2.7,0.9,0.4,0.2,0.2,1.6,0.2,0.4
"663","NYK","SG","Wayne Selden",3,1.7,0.3,0.3,0,0,1,0.6,0
"664","HOU","C","Alperen Þengün",72,9.6,5.5,2.6,0.8,0.9,3.8,0.9,2
"665","CLE","SG","Collin Sexton",11,16,3.3,2.1,0.9,0,7.5,0.9,2.8
"666","PHO","SG","Landry Shamet",69,8.3,1.8,1.6,0.4,0.1,4.2,0.2,0.6
"667","BRK","PF","Day'Ron Sharpe",32,6.2,5,0.5,0.3,0.5,2,0.5,0.9
"668","TOR","PF","Pascal Siakam",68,22.8,8.5,5.3,1.3,0.6,9,1.4,2.7
"669","TOT","PF","Chris Silva",10,2.6,3.6,0.7,0,0.1,0.7,0.2,0.8
"670","MIN","PF","Chris Silva",1,0,1,0,0,0,0,0,0
"671","MIA","PF","Chris Silva",9,2.9,3.9,0.8,0,0.1,0.8,0.2,0.9
"672","CHI","C","Marko Simonovic",9,1.9,1.1,0,0.1,0.1,1.3,0.3,0.2
"673","POR","SG","Anfernee Simons",57,17.3,2.6,3.9,0.5,0.1,7.8,0.2,2
"674","OKC","PG","Zavier Simpson",4,11,5.3,7.5,1.3,1,8.2,0,2.5
"675","NYK","PF","Jericho Sims",41,2.2,4.1,0.5,0.3,0.5,0.3,0.4,0.5
"676","DET","SG","Deividas Sirvydis",3,1,2,0.3,1,0.3,3,0,0
"677","TOT","PG","Javonte Smart",17,3,1.4,0.9,0.4,0.2,2.4,0.1,0.6
"678","MIL","PG","Javonte Smart",13,2.4,1.5,1.1,0.3,0.2,2.5,0.1,0.7
"679","MIA","PG","Javonte Smart",4,5,1.3,0.5,0.5,0.3,2.3,0,0.5
"680","BOS","PG","Marcus Smart",71,12.1,3.8,5.9,1.7,0.3,5.9,0.5,2.2
"681","POR","PG","Dennis Smith Jr.",37,5.6,2.4,3.6,1.2,0.3,3,0.6,1.4
"682","TOT","PG","Ish Smith",65,6.3,2.2,3.8,0.7,0.4,3.8,0.2,1.2
"683","CHO","PG","Ish Smith",37,4.5,1.5,2.6,0.5,0.3,3,0.2,1
"684","WAS","PG","Ish Smith",28,8.6,3,5.2,1,0.5,4.8,0.1,1.5
"685","TOT","PF","Jalen Smith",51,9.2,6,0.5,0.3,0.8,3.4,0.5,0.8
"686","PHO","PF","Jalen Smith",29,6,4.8,0.2,0.2,0.6,2.5,0.4,0.8
"687","IND","PF","Jalen Smith",22,13.4,7.6,0.8,0.4,1,4.6,0.6,0.9
"688","TOT","SF","Xavier Sneed",9,0.6,0.7,0.1,0,0,0.9,0,0
"689","MEM","SF","Xavier Sneed",2,0,1,0,0,0,1,0,0
"690","UTA","SF","Xavier Sneed",7,0.7,0.6,0.1,0,0,0.8,0,0
"691","TOT","SG","Tony Snell",53,3.5,1.9,0.5,0.3,0.2,1.9,0,0.4
"692","POR","SG","Tony Snell",38,2.6,1.9,0.5,0.2,0.2,1.7,0,0.3
"693","NOP","SG","Tony Snell",15,5.9,2.1,0.5,0.5,0.1,2.7,0,0.5
"694","PHI","SG","Jaden Springer",2,1,1,0,0,1,0,0,0.5
"695","DET","SG","Cassius Stanley",9,5.8,2.1,0.4,0.6,0.2,3,0,0.7
"696","TOT","SG","Nik Stauskas",8,2.3,0.4,0.3,0,0,1.2,0.3,0.1
"697","MIA","SG","Nik Stauskas",2,5.5,1.5,0.5,0,0,2.5,0.5,0
"698","BOS","SG","Nik Stauskas",6,1.2,0,0.2,0,0,0.7,0.1,0.2
"699","TOT","SG-SF","Lance Stephenson",46,8.3,2.8,3.6,0.5,0.1,3.8,0.3,1.6
"700","ATL","SF","Lance Stephenson",6,1.8,2.5,1.8,0,0,1.4,0.1,0.7
"701","IND","SG","Lance Stephenson",40,9.3,2.8,3.9,0.6,0.1,4.2,0.4,1.7
"702","CLE","PF","Lamar Stevens",63,6.1,2.6,0.7,0.5,0.3,2.6,0.4,0.7
"703","DET","C","Isaiah Stewart",71,8.3,8.7,1.2,0.3,1.1,3.4,0.5,1.2
"704","MIA","SF","Max Strus",68,10.6,3,1.4,0.4,0.2,4.6,0.2,0.8
"705","ORL","PG","Jalen Suggs",48,11.8,3.6,4.4,1.2,0.4,7.3,0.8,3
"706","WAS","SG","Craig Sword",3,2,0,0.3,1.3,0,0.3,0,0.3
"707","IND","PG","Keifer Sykes",32,5.6,1.4,1.9,0.4,0.1,3.7,0,1
"708","HOU","SF","Jae'Sean Tate",78,11.8,5.4,2.8,0.9,0.5,4.6,0.7,1.8
"709","BOS","SF","Jayson Tatum",76,26.9,8,4.4,1,0.6,11.3,0.9,2.9
"710","IND","SG","Terry Taylor",33,9.6,5.2,1.2,0.4,0.2,2.6,0.4,0.7
"711","NOP","SG","Garrett Temple",59,5.2,2.4,1.3,0.7,0.4,3.1,0.2,0.7
"712","PHO","PF","Emanuel Terry",3,0,5,0.7,0.3,0,1.7,0,1.7
"713","MEM","PG","Tyrell Terry",2,1,0,0,0,0,0,0,0
"714","MEM","C","Jon Teske",3,0,0.7,0.3,0.3,0,0.3,0.7,0
"715","TOT","C","Daniel Theis",47,8.2,4.9,0.9,0.4,0.7,3,0.5,1
"716","HOU","C","Daniel Theis",26,8.4,5,0.8,0.4,0.7,3.7,0.5,1.2
"717","BOS","C","Daniel Theis",21,7.9,4.7,1,0.4,0.7,2.1,0.5,0.7
"718","BOS","SG","Brodric Thomas",12,1.8,0.8,0.9,0.1,0.1,0.8,0.1,0.5
"719","BRK","SG","Cam Thomas",67,8.5,2.4,1.2,0.5,0.1,4.2,0.3,0.8
"720","TOT","PG","Isaiah Thomas",22,8.4,1.3,1.5,0.3,0.2,4.6,0.2,0.7
"721","LAL","PG","Isaiah Thomas",4,9.3,2,1.5,0,0.5,6.8,0.8,1.3
"722","DAL","PG","Isaiah Thomas",1,6,0,4,0,0,5,0,0
"723","CHO","PG","Isaiah Thomas",17,8.3,1.2,1.4,0.4,0.2,4,0.1,0.6
"724","CHI","SG","Matt Thomas",40,4,1.3,0.5,0.2,0.1,2,0.1,0.2
"725","GSW","SG","Klay Thompson",32,20.4,3.9,2.8,0.5,0.5,10.2,0.2,1.3
"726","TOT","PF","Tristan Thompson",57,6,5.1,0.6,0.4,0.4,2.2,0.9,0.8
"727","SAC","PF","Tristan Thompson",30,6.2,5.4,0.6,0.4,0.4,2.5,0.9,1
"728","IND","PF","Tristan Thompson",4,7.3,4.5,0.5,0,0.5,2.7,1.2,1
"729","CHI","PF","Tristan Thompson",23,5.7,4.7,0.6,0.5,0.3,1.7,1,0.5
"730","CHO","PF","JT Thor",33,2,1.3,0.6,0.2,0.3,1,0.2,0.3
"731","PHI","SG","Matisse Thybulle",66,5.7,2.3,1.1,1.7,1.1,2.2,0.2,0.6
"732","MEM","C","Killian Tillie",36,3.3,1.7,0.6,0.6,0.4,2.3,0.1,0.4
"733","MEM","PF","Xavier Tillman Sr.",53,4.8,3,1.2,0.9,0.3,2.3,0.4,0.6
"734","WAS","PF","Isaiah Todd",12,1.7,1,0.3,0.3,0.2,1.6,0.3,0.3
"735","NYK","PF","Obi Toppin",72,9,3.7,1.1,0.3,0.5,3.1,0.4,0.8
"736","GSW","SF","Juan Toscano-Anderson",73,4.1,2.4,1.7,0.7,0.2,1.6,0.5,0.9
"737","MIN","C","Karl-Anthony Towns",74,24.6,9.8,3.6,1,1.1,7.7,1.1,3.1
"738","TOR","SG","Gary Trent Jr.",70,18.3,2.7,2,1.7,0.3,9.1,0.4,1
"739","MIA","PF","P.J. Tucker",71,7.6,5.5,2.1,0.8,0.2,3.1,0.3,0.9
"740","TOT","SG","Rayjon Tucker",5,4.2,1.6,2,0.8,0,0.6,0.4,0.2
"741","DEN","SG","Rayjon Tucker",3,2,1.3,1.3,0.3,0,0.4,0.3,0
"742","MIL","SG","Rayjon Tucker",2,7.5,2,3,1.5,0,1,0.5,0.5
"743","IND","C","Myles Turner",42,12.9,7.1,1,0.7,2.8,4.6,0.6,1.3
"744","NOP","C","Jonas Valan?i?nas",74,17.8,11.4,2.6,0.6,0.8,5.8,0.7,2.4
"745","TOT","SG","Denzel Valentine",24,2.9,1.8,0.5,0.3,0,1.8,0,0.5
"746","CLE","SG","Denzel Valentine",22,2.9,1.7,0.5,0.3,0,1.8,0,0.5
"747","UTA","SG","Denzel Valentine",2,2.5,2,0,0.5,0,1,0,1
"748","MIN","PF","Jarred Vanderbilt",74,6.9,8.4,1.3,1.3,0.6,2,0.6,1
"749","TOR","PG","Fred VanVleet",65,20.3,4.4,6.7,1.7,0.5,10.1,0.4,2.6
"750","SAS","SF","Devin Vassell",71,12.3,4.3,1.9,1.1,0.6,6.2,0.2,0.8
"751","MIA","PG","Gabe Vincent",68,8.7,1.9,3.1,0.9,0.2,4.4,0.2,1.4
"752","CHI","C","Nikola Vu?evi?",73,17.6,11,3.2,1,1,8.3,0.4,1.9
"753","CLE","PF","Dean Wade",51,5.3,2.9,1,0.6,0.1,2.4,0.2,0.3
"754","ORL","SF","Franz Wagner",79,15.2,4.5,2.9,0.9,0.4,6.5,0.4,1.5
"755","ORL","C","Moritz Wagner",63,9,3.7,1.4,0.3,0.2,3.2,0.3,0.9
"756","PHO","PF","Ish Wainright",45,2.4,1.2,0.3,0.4,0.1,1.4,0.1,0.3
"757","NYK","PG","Kemba Walker",37,11.6,3,3.5,0.7,0.2,6,0.3,1.3
"758","SAS","SG","Lonnie Walker IV",70,12.1,2.6,2.2,0.6,0.3,6.5,0.4,1
"759","PHO","SG","M.J. Walker",2,0,0.5,0.5,1,0,2,0,0
"760","NOP","SG","Tyrone Wallace",6,2.8,1.3,0.2,0.5,0.2,2.1,0.6,0.3
"761","DET","PG","Derrick Walton",3,6.3,3.3,7,2.3,1.3,6.7,0,3.7
"762","TOT","PG","Brad Wanamaker",23,3.6,1.7,2.4,0.3,0.3,2.1,0.1,1
"763","IND","PG","Brad Wanamaker",22,3.5,1.6,2.2,0.2,0.3,2.1,0.1,1
"764","WAS","PG","Brad Wanamaker",1,7,4,7,2,0,3,0,0
"765","IND","PG","Duane Washington Jr.",48,9.9,1.7,1.8,0.5,0.1,5.3,0.3,1.2
"766","CHO","PF","P.J. Washington",65,10.3,5.2,2.3,0.9,0.9,4.4,0.3,1.3
"767","TOR","SF","Yuta Watanabe",38,4.3,2.4,0.6,0.3,0.4,2.1,0.5,0.5
"768","OKC","SG","Lindy Waters III",25,8,2.9,1,0.8,0.3,4.2,0,0.4
"769","TOT","PG","Tremont Waters",3,3.3,1.3,2.3,1.7,0,3.4,0,1.3
"770","TOR","PG","Tremont Waters",2,4,2,3.5,2,0,4.5,0,2
"771","WAS","PG","Tremont Waters",1,2,0,0,1,0,1,0,0
"772","POR","SF","Trendon Watford",48,7.6,4.1,1.7,0.5,0.6,2.6,0.5,0.9
"773","OKC","SF","Paul Watson",9,3.4,3,0.9,0.3,0.3,2.6,0.1,0.4
"774","GSW","SG","Quinndary Weatherspoon",11,2.7,1.3,0.5,0.1,0.1,0.8,0,0.3
"775","LAL","PG","Russell Westbrook",78,18.5,7.4,7.1,1,0.3,8.8,1.7,3.8
"776","CHI","PG","Coby White",61,12.7,3,2.9,0.5,0.2,6,0.2,1.1
"777","TOT","SG","Derrick White",75,13.2,3.5,4.9,0.9,0.8,6.2,0.4,1.6
"778","SAS","SG","Derrick White",49,14.4,3.5,5.6,1,0.9,6.6,0.5,1.8
"779","BOS","SG","Derrick White",26,11,3.4,3.5,0.6,0.6,5.2,0.4,1.2
"780","UTA","C","Hassan Whiteside",65,8.2,7.6,0.4,0.3,1.6,1.8,1,0.8
"781","SAS","SG","Joe Wieskamp",29,2.1,0.5,0.3,0.1,0.1,1.2,0.2,0.1
"782","OKC","SG","Aaron Wiggins",50,8.3,3.6,1.4,0.6,0.2,3.6,0.5,1.1
"783","GSW","SF","Andrew Wiggins",73,17.2,4.5,2.2,1,0.7,7.5,1.2,1.5
"784","MIL","PG","Lindell Wigginton",19,4.2,1.3,1.2,0.3,0.1,1.8,0.8,0.6
"785","POR","PG","Brandon Williams",24,12.9,3.1,3.9,1,0.4,7.4,1.2,2.4
"786","BOS","PF","Grant Williams",77,7.8,3.6,1,0.5,0.7,2.9,0.0999999999999999,0.8
"787","OKC","SF","Kenrich Williams",49,7.4,4.5,2.2,0.9,0.2,3.5,0.5,0.9
"788","ATL","PG","Lou Williams",56,6.3,1.6,1.9,0.5,0.1,3.5,0.2,0.8
"789","CHI","PF","Patrick Williams",17,9,4.1,0.9,0.5,0.5,2.8,0.6,0.9
"790","BOS","C","Robert Williams",61,10,9.6,2,0.9,2.2,1.6,0.4,1
"791","MEM","SF","Ziaire Williams",62,8.1,2.1,1,0.6,0.2,3.7,0.2,0.7
"792","TOR","PF","D.J. Wilson",4,7.5,4,1.3,1.3,0.3,1,0.5,0.5
"793","CLE","SF","Dylan Windler",50,2.2,1.8,0.7,0.3,0.1,1.3,0.1,0.3
"794","TOT","SF","Justise Winslow",48,5.7,4.2,1.8,0.7,0.5,3.1,0.6,1
"795","LAC","SF","Justise Winslow",37,4.2,3.6,1.4,0.6,0.5,2.1,0.4,1
"796","POR","SF","Justise Winslow",11,10.7,6.3,2.9,1.3,0.6,6.2,1,1.1
"797","WAS","PG","Cassius Winston",7,2,0.1,1,0,0,1,0,0.4
"798","HOU","C","Christian Wood",68,17.9,10.1,2.3,0.8,1,6.4,1.9,1.9
"799","SAC","SF","Robert Woodard II",12,0.6,0.9,0.3,0.1,0.1,1.1,0,0.1
"800","ATL","SG","Delon Wright",77,4.4,2.9,2.4,1.2,0.2,1.9,0.1,0.6
"801","MIN","PG","McKinley Wright IV",5,1,0,0.6,0,0,0.2,0,0.2
"802","TOT","PF","Moses Wright",4,1.3,0.8,0.5,0,0.3,0.7,0,0
"803","LAC","PF","Moses Wright",1,0,0,1,0,0,0,0,0
"804","DAL","PF","Moses Wright",3,1.7,1,0.3,0,0.3,1,0,0
"805","IND","SG","Gabe York",2,4,1,2,1,0.5,2.5,1,0.5
"806","TOT","PF","Thaddeus Young",52,6.2,4,2,1,0.3,2.5,0.5,1
"807","SAS","PF","Thaddeus Young",26,6.1,3.6,2.3,0.9,0.3,2.1,0.4,1.2
"808","TOR","PF","Thaddeus Young",26,6.3,4.4,1.7,1.2,0.4,2.9,0.5,0.8
"809","ATL","PG","Trae Young",76,28.4,3.7,9.7,0.9,0.1,10.9,0.7,4
"810","MIA","C","Omer Yurtseven",56,5.3,5.3,0.9,0.3,0.4,2.1,0.4,0.7
"811","POR","C","Cody Zeller",27,5.2,4.6,0.8,0.3,0.2,1.4,0.4,0.7
"812","LAC","C","Ivica Zubac",76,10.3,8.5,1.6,0.5,1,2.4,0.8,1.5
